Object ID	Total Intensity 53BP1 647	Mean Intensity 53BP1 647	Area 	Center X 	Center Y 	Parent Object ID (MO)	Parent Trace ID
951	1933	193.3	10	692.5	356	1232	-1
952	2370	197.5	12	697.5	371	1232	-1
953	70437	466.47018	151	668.5	376	1232	-1
954	2144	164.92308	13	1107	367.5	1236	-1
955	1580	158	10	1137.5	370	1236	-1
956	8886	158.67857	56	1149	377	1236	-1
957	7944.0005	176.53334	45	1137	382	1236	-1
958	1795.9999	163.27272	11	1147	385.5	1236	-1
959	8126	172.89362	47	1582	398	1237	-1
960	22289	323.02899	69	492.5	401	1239	-1
961	20165	272.5	74	1168.5	435	1257	-1
962	27560	163.07692	169	1175	446.5	1257	-1
963	1737	157.90909	11	67.5	442	1259	-1
964	1841	167.36363	11	261.5	440	1261	-1
965	3731	155.45833	24	255	443	1261	-1
966	55375	469.27966	118	245.5	458.5	1261	-1
967	3284	193.17647	17	488.5	450.5	1264	-1
968	1965	163.75	12	485	478	1264	-1
969	30487	158.78645	192	897	463	1266	-1
970	3413	155.13637	22	880.5	462	1266	-1
971	111811	628.15167	178	1057.5	488.5	1273	-1
972	1907	173.36363	11	976.5	493.5	1274	-1
973	4223	162.42308	26	1733	542	1278	-1
974	6868	208.12122	33	260	518.5	1280	-1
975	3134	164.94737	19	250.5	520	1280	-1
976	18328	215.62354	85	244.5	534.5	1280	-1
977	2530	158.125	16	263	530	1280	-1
978	26566	202.7939	131	935.5	528	1283	-1
979	4342	160.81482	27	1829	537.5	1284	-1
980	69435	361.64063	192	1824.5	561.5	1284	-1
981	4213	175.54167	24	356	544	1290	-1
982	6499	224.10345	29	361.5	564	1290	-1
983	3261	163.05	20	355.5	574.5	1290	-1
984	1724.0001	156.72728	11	430	557.5	1291	-1
985	8690	206.90475	42	412.5	569	1291	-1
986	4136	159.07692	26	424.5	572	1291	-1
987	8245	257.65625	32	441	592.5	1291	-1
988	8147.0005	301.74075	27	1114.5	556	1293	-1
989	16750	293.85965	57	1117.5	564.5	1293	-1
990	35329	497.59155	71	1101	571	1293	-1
991	32347.998	363.46066	89	1110.5	575	1293	-1
992	23607	207.07895	114	1111	594.5	1293	-1
993	9510	327.93103	29	1049	564	1297	-1
994	2162	166.30769	13	1053	586.5	1297	-1
995	12511	271.97827	46	514.5	603.5	1299	-1
996	4408	176.32001	25	493	607	1299	-1
997	1561	156.10001	10	1254	584	1300	-1
998	31783	161.33502	197	1271	592	1300	-1
999	3077	181	17	983.5	601.5	1302	-1
1000	4041	161.64	25	990.5	607.5	1302	-1
1001	4436	158.42857	28	233.5	615.5	1303	-1
1002	13002	156.6506	83	249.5	620.5	1303	-1
1003	1831	166.45454	11	1382	625	1304	-1
1004	3734	186.7	20	1376.5	632	1304	-1
1005	22598	166.16176	136	1387	646.5	1304	-1
1006	3593	163.31818	22	1400	643.5	1304	-1
1007	5473	182.43333	30	43.5	643	1306	-1
1008	27079.002	164.11516	165	414	666	1316	-1
1009	7011.9995	171.02438	41	1071	662.5	1317	-1
1010	1550	155	10	1079	664	1317	-1
1011	7067.0005	172.36586	41	1077	670.5	1317	-1
1012	10058	157.15625	64	1085	674.5	1317	-1
1013	4867	162.23334	30	1048	672.5	1317	-1
1014	13859.001	161.15117	86	1078.5	680	1317	-1
1015	30583	387.12659	79	1058.5	683	1317	-1
1016	2143	194.81818	11	932	676	1318	-1
1017	5881	163.36111	36	328	700	1322	-1
1018	7396	264.14285	28	1056	737	1325	-1
1019	2476	154.75	16	1661.5	740	1327	-1
1020	1887	157.25	12	565	717.5	1328	-1
1021	6424	183.54286	35	569.5	729	1328	-1
1022	26582.002	162.08537	164	503	726.5	1332	-1
1023	76317	778.74487	98	615	743.5	1333	-1
1024	2551	159.4375	16	823.5	744.5	1336	-1
1025	2092	160.92308	13	801.5	754.5	1336	-1
1026	35979	188.37173	191	1311	765.5	1341	-1
1027	2037.9999	185.27272	11	1303	779	1341	-1
1028	10330	271.8421	38	373	772.5	1343	-1
1029	2205	157.5	14	381.5	772	1343	-1
1030	13143	273.8125	48	448.5	812.5	1344	-1
1031	2518	157.375	16	1389	800.5	1346	-1
1032	2869	159.38889	18	1859.5	810.5	1349	-1
1033	2822	201.57143	14	1265.5	808	1354	-1
1034	6227	163.86842	38	1282.5	820	1354	-1
1035	1851	154.25	12	1268.5	819.5	1354	-1
1036	18977	462.85367	41	485.5	823	1355	-1
1037	3322	255.53847	13	502.5	838	1355	-1
1038	12472	211.38983	59	1466	834.5	1359	-1
1039	3474	165.42857	21	1469	844.5	1359	-1
1040	24108	197.60655	122	903	847.5	1361	-1
1041	5706	167.82353	34	883.5	852	1361	-1
1042	3736	155.66667	24	976.5	858	1362	-1
1043	28426	183.39355	155	1190.5	873	1369	-1
1044	15915.999	160.76767	99	1247.5	883	1371	-1
1045	16596	291.1579	57	1529.5	899	1373	-1
1046	23655	160.91837	147	207	928	1376	-1
1047	11121	158.87143	70	211.5	923.5	1376	-1
1048	17964	157.57895	114	224.5	928.5	1376	-1
1049	3231	190.05882	17	359.5	898.5	1377	-1
1050	2638	175.86667	15	342	907	1377	-1
1051	3150	157.5	20	1104.5	917.5	1381	-1
1052	61294	333.11957	184	2033	923	1383	-1
1053	2755	196.78572	14	1051.5	939	1385	-1
1054	2369	157.93333	15	1055.5	957.5	1385	-1
1055	5584	169.21213	33	1214.5	959.5	1388	-1
1056	4319	154.25	28	1486.5	987	1392	-1
1057	1525	152.5	10	1012.5	990.5	1394	-1
1058	4830	172.5	28	1602	993	1395	-1
1059	27104	170.46541	159	1582.5	999	1395	-1
1060	7600.0005	161.70213	47	2013	1005.5	1399	-1
1061	82414	588.67145	140	836.5	1003	1402	-1
1062	9464	166.0351	57	838.5	1019	1402	-1
1063	1988	165.66667	12	830	1024.5	1402	-1
1064	19224	174.76364	110	923.5	1018	1403	-1
1065	68605	770.84271	89	894	1018	1403	-1
1066	2124	163.38461	13	918.5	1026.5	1403	-1
1067	86302	504.69006	171	1786	1010	1405	-1
1068	3555.0002	169.28572	21	1784.5	1088.5	1417	-1
1069	2128	177.33333	12	1056.5	1109	1420	-1
1070	13521	185.21918	73	1351.5	1110	1421	-1
1071	2034	169.5	12	1341	1116	1421	-1
1072	1877	156.41667	12	356.5	1124	1422	-1
1073	6692	167.3	40	350	1129.5	1422	-1
1074	2692	179.46666	15	80	1099.5	1425	-1
1075	1650	165	10	103	1109	1425	-1
