Object ID	Elongation Factor 	Circularity 	Mean Intensity DAPI	Total Intensity DAPI	Total Intensity telo 550	Mean Intensity telo 550	Total Intensity 53BP1 647	Mean Intensity 53BP1 647	telo550_spots  Counts 	53bp1_spots  Counts 	Well 	Center X 	Center Y 	Area 	total_intensity_telo 	total_intensity_bp1 	mean-550-withoutspots 	total_area_telo 	area_dif_telo 	int_dif_telo 	mean-53bp1-withoutspots 	int_dif_telo 	area_dif_telo 	Parent Object ID (Well)	Parent Trace ID
79	1.8595041	0.9387279	416.479	645126	90813	58.626858	174327	112.54164	2	4	6	748	526	1549	16820	45752	50.335374	79	1470	73993	94.056328	157507	1367	5	-1
80	1.7164474	0.94809281	379.79471	560577	42349	28.691734	162845	110.32859	1	0	6	1010.5	529	1476	5976	0	25.524912	51	1425	36373	110.32859	156869	1476	5	-1
81	1.9545244	0.95581657	513.74475	1100955	50883	23.743816	283042.03	132.07747	1	0	6	1214	540	2143	1204	0	23.345395	15	2128	49679	132.07748	281838.03	2143	5	-1
82	1.5875706	0.9221415	667.16571	575764	17881	20.719584	58315.996	67.573578	0	0	6	1847.5	532	863	0	0	20.719583	0	863	17881	67.573576	58315.996	863	5	-1
83	1.996788	0.95744341	289.32761	538728	79608	42.754028	112215	60.265842	2	0	6	1777	542.5	1862	40745	0	22.438222	130	1732	38863	60.265843	71470	1862	5	-1
84	1.5571429	0.93754451	636.51953	570958	25811	28.774805	73838	82.316612	2	0	6	1879	542.5	897	5211	0	24.378698	52	845	20600	82.316611	68627	897	5	-1
85	1.6983457	0.9733827	388.86102	1102421	110531	38.988007	354214	124.94321	1	0	6	564.5	554.5	2835	3022	0	38.327629	30	2805	107509	124.94321	351192	2835	5	-1
86	1.8262129	0.92257737	348.21237	467301	71046	52.940388	102449.99	76.341278	3	2	6	739.5	569	1342	9525	15536	48.289639	68	1274	61521	68.815512	92924.992	1263	5	-1
87	1.6755556	0.97200259	243.57277	545603	75551	33.728127	204197	91.159378	0	5	6	293	581	2240	0	60895	33.728125	0	2240	75551	71.43669	204197	2006	5	-1
88	2.2909958	0.92959991	323.65948	539864	93140	55.839329	125584.99	75.290764	1	1	6	1728	581.5	1668	970	3375	55.691843	13	1655	92170	74.156549	124614.99	1648	5	-1
89	1.4568966	0.97473132	558.56683	1090881	128868.01	65.984642	318120	162.88786	5	0	6	1564.5	601	1953	39132	0	49.632748	145	1808	89736.008	162.88786	278988	1953	5	-1
90	1.8217009	0.97101542	326.56067	554500	83402	49.117786	189868	111.81861	1	0	6	950.5	600	1698	5955	0	46.654819	38	1660	77447	111.81861	183913	1698	5	-1
91	1.7533098	0.93613119	251.62967	553082	76519	34.813011	244233	111.11601	1	1	6	814.5	612.5	2198	9764	2783	31.310976	66	2132	66755	110.75688	234469	2180	5	-1
92	1.8748674	0.9629796	393.15549	738346	44864	23.889244	214066	113.98615	1	0	6	1987	606	1878	8078	0	20.057797	44	1834	36786	113.98616	205988	1878	5	-1
93	1.7260138	0.96100973	549.98157	1104363	139225	69.335159	295156	146.99004	2	0	6	1276.5	614.5	2008	39238	0	53.756452	148	1860	99987	146.99004	255918	2008	5	-1
94	1.615494	0.98329619	362.27615	1017996	58404.996	20.784697	231848	82.508186	2	1	6	410	624.5	2810	3216	10106	19.967075	46	2764	55188.996	80.487114	228632	2755	5	-1
95	1.5483029	0.98582839	530.06635	1014547	76377	39.904388	224685	117.39028	3	0	6	1077	622.5	1914	36290	0	23.211928	187	1727	40087	117.39028	188395	1914	5	-1
96	1.7508511	0.97664667	340.59491	1096375	85915	26.689966	480790	149.36005	2	0	6	177	637.5	3219	6493	0	25.253418	74	3145	79422	149.36005	474297	3219	5	-1
97	2.0108434	0.95188036	335.54428	552977	55397	33.614685	245019	148.67657	0	0	6	872	632.5	1648	0	0	33.614684	0	1648	55397	148.67658	245019	1648	5	-1
98	1.7554745	0.97395152	499.02103	1091359	71429	32.660721	397086	181.56653	0	0	6	656	636.5	2187	0	0	32.660722	0	2187	71429	181.56653	397086	2187	5	-1
99	1.7884934	0.97157165	440.47797	1059790	70111	29.140066	238823	99.261429	2	0	6	1863	635.5	2406	25786	0	19.122088	88	2318	44325	99.26143	213037	2406	5	-1
100	1.5123967	0.96643255	809.28809	1162947	60731.996	42.263046	99736	69.405708	2	0	6	1659.5	639	1437	28698	0	23.959608	100	1337	32033.996	69.405706	71038	1437	5	-1
101	1.5753257	0.97940038	338.76306	830647	49041	20.000408	298978	121.9323	0	0	6	575.5	648.5	2452	0	0	20.000408	0	2452	49041	121.9323	298978	2452	5	-1
102	1.8954386	0.96215241	395.03674	558977	60583	42.814842	162512	114.84947	1	0	6	1424	649	1415	9300	0	37.269622	39	1376	51283	114.84947	153212	1415	5	-1
103	1.8077253	0.95029464	402.44925	928048	73560	31.899393	363383	157.58153	0	0	6	28	658	2306	0	0	31.899393	0	2306	73560	157.58153	363383	2306	5	-1
104	1.8416667	0.96736211	275.55527	658026	60004.004	25.127304	277147	116.0582	0	0	6	1753	656	2388	0	0	25.127305	0	2388	60004.004	116.05821	277147	2388	5	-1
105	1.4910828	0.95424476	358.90839	548412	40393	26.435209	164083	107.38416	1	0	6	986	656	1528	1098	0	26.023179	18	1510	39295	107.38416	162985	1528	5	-1
106	1.7743243	0.96848781	365.36203	538909	44252	30.001356	145557	98.682709	0	3	6	766.5	659.5	1475	0	15719	30.001356	0	1475	44252	94.017379	145557	1381	5	-1
107	1.6661224	0.98162373	248.39821	607582	51459	21.038021	303088	123.91169	0	2	6	302.5	687.5	2446	0	119813.99	21.038021	0	2446	51459	81.891871	303088	2238	5	-1
108	1.6431564	0.9660824	385.935	552273	35066	24.504541	153925	107.56464	0	1	6	1354.5	691.5	1431	0	74154	24.504542	0	1431	35066	63.010269	153925	1266	5	-1
109	2.0017231	0.9512691	317.08655	549511	45234	26.101559	205095	118.34679	1	1	6	935.5	702	1733	647	3162	25.877539	10	1723	44587	117.81389	204448	1714	5	-1
110	1.7674328	0.95959474	305.31778	778255	58609	22.992939	344046	134.97293	1	0	6	491.5	703.5	2549	5291	0	21.11604	24	2525	53318	134.97293	338755	2549	5	-1
111	1.6757538	0.97047466	435.55841	1051438	65087	26.962303	237193	98.257248	1	3	6	1276	705.5	2414	14766	20736.999	21.440562	67	2347	50321	94.481013	222427	2291	5	-1
112	2.0970288	0.95476588	233.35193	501940	56740	26.378429	257248	119.5946	0	0	6	2023	713	2151	0	0	26.378429	0	2151	56740	119.59461	257248	2151	5	-1
113	1.5837865	0.97265414	542.89032	1093924	51122	25.37072	292533	145.17767	3	0	6	1154.5	715	2015	7786	0	22.430642	83	1932	43336	145.17767	284747	2015	5	-1
114	1.9617138	0.93931836	519.0368	563674	82600	76.058929	117079	107.80755	2	1	6	1481	706	1086	2988	2006	74.893697	23	1063	79612	107.24418	114091	1073	5	-1
115	2.254509	0.92498795	263.97235	525041	110330	55.470085	166641	83.781296	2	1	6	1900	709.5	1989	35808	21081	40.766958	161	1828	74522	78.300161	130833	1859	5	-1
116	1.807483	0.94775557	376.27786	547108	42479	29.215269	213414.98	146.77785	1	0	6	1071	712	1454	1514	0	28.547038	19	1435	40965	146.77784	211900.98	1454	5	-1
117	2	0.95743888	327.74692	559464	44771	26.227884	167910	98.365555	1	3	6	1635	712	1707	1439	36235	25.609929	15	1692	43332	86.344262	166471	1525	5	-1
118	1.7961399	0.95903792	267.12512	877506	77003	23.440792	357288	108.76347	2	3	6	97.5	734.5	3285	14370	14317	19.851981	130	3155	62633	106.74479	342918	3213	5	-1
119	1.7213901	0.97414015	323.46338	538890	45293	27.186674	157515	94.546822	1	3	6	813	724	1666	1641	19617	26.487864	18	1648	43652	89.196636	155874	1546	5	-1
120	1.6072267	0.95955451	332.97531	701579	52737	25.029427	258369	122.62411	0	0	6	882	737	2107	0	0	25.029426	0	2107	52737	122.62411	258369	2107	5	-1
121	1.5427581	0.98232569	414.18716	1071088	81997	31.708044	338575.03	130.92615	4	0	6	683	745.5	2586	22512	0	24.889121	196	2390	59485	130.92615	316063.03	2586	5	-1
122	1.7364865	0.98227487	226.81564	568400	52576	20.980047	224097	89.424179	0	1	6	410	752.5	2506	0	85280	20.980048	0	2506	52576	58.64681	224097	2367	5	-1
123	1.9449244	0.96151685	298.97134	553097	44802	24.217297	151950	82.135132	1	0	6	1720.5	744	1850	1231	0	23.718563	13	1837	43571	82.135135	150719	1850	5	-1
124	2.3653618	0.92722955	327.26938	549158	46125	27.488081	226153	134.77533	0	0	6	1010	754	1678	0	0	27.488081	0	1678	46125	134.77533	226153	1678	5	-1
125	1.869899	0.9513402	454.98175	1121985	70421	28.556772	423410	171.69911	1	0	6	579.5	758.5	2466	18544	0	21.445639	47	2419	51877	171.69911	404866	2466	5	-1
126	1.59582	0.97493969	242.56305	682815	55027	19.547779	251732	89.425224	2	1	6	1812.5	773	2815	1918	4070.0002	19.015038	22	2793	53109	88.79957	249814	2789	5	-1
127	1.6738722	0.96066235	537.94006	565375	28497	27.114178	121589	115.68887	1	0	6	1463.5	758.5	1051	832	0	26.626564	12	1039	27665	115.68887	120757	1051	5	-1
128	1.7483636	0.95095858	409.72922	552315	50448	37.424332	265207	196.7411	1	0	6	1068.5	772	1348	9688	0	31.329746	47	1301	40760	196.7411	255519	1348	5	-1
129	1.8797025	0.96523634	236.8924	539404	107717	47.306545	240184	105.48265	6	1	6	1553.5	788	2277	30766	96186	36.625892	176	2101	76951	68.277857	209418	2109	5	-1
130	1.8837209	0.96651417	249.98737	534223	99891	46.743565	227690	106.54656	0	0	6	1970.5	783.5	2137	0	0	46.743566	0	2137	99891	106.54656	227690	2137	5	-1
131	2.0899042	0.95684129	403.27295	1093273	79101	29.177794	421089	155.32608	1	0	6	274	797	2711	1823	0	28.685226	17	2694	77278	155.32608	419266	2711	5	-1
132	1.5743167	0.97824412	407.96835	1083156	82121	30.930696	335064	126.20113	3	2	6	1495	806.5	2655	6385	3605.0001	29.118032	54	2601	75736	125.88644	328679	2633	5	-1
133	2.2590841	0.93545336	273.21671	1095599	107147	26.71995	1003227	250.18129	1	1	6	1233.5	815	4010	18321	6283	22.602036	80	3930	88826	250.6774	984906	3977	5	-1
134	1.8742568	0.96832418	251.43266	843808	141907	42.284565	323426	96.372467	3	4	6	124.5	818.5	3356	19112.001	15555	37.887997	115	3241	122795	94.092604	304314	3272	5	-1
135	1.7910976	0.96421321	286.28787	564846	54710	27.729345	188271	95.423721	2	1	6	837	827	1973	15004	31547	21.324382	111	1862	39706	84.853276	173267	1847	5	-1
