Object ID	Total Intensity 53BP1 647	Mean Intensity 53BP1 647	Area 	Parent Object ID (MO)	Parent Trace ID
389	9634	155.3871	62	494	-1
390	2143	164.84616	13	495	-1
391	65515	428.20261	153	495	-1
392	2779	173.6875	16	500	-1
393	3631	213.58824	17	503	-1
394	7357	210.2	35	503	-1
395	12588	286.09091	44	503	-1
396	53076.996	536.13129	99	503	-1
397	2549	182.07143	14	503	-1
398	5757	287.85001	20	503	-1
399	4852	173.28572	28	504	-1
400	1645	164.5	10	506	-1
401	2893	160.72223	18	509	-1
402	3500	175	20	515	-1
403	15255.001	346.70456	44	515	-1
404	101376	637.5849	159	518	-1
405	2892	206.57143	14	520	-1
406	2618	154	17	523	-1
407	2103	161.76923	13	528	-1
408	1787	162.45454	11	530	-1
409	24878	171.57242	145	531	-1
410	7801	159.20409	49	531	-1
411	12727	189.95523	67	531	-1
412	8843	157.91072	56	531	-1
413	3784	157.66667	24	531	-1
414	4727	236.35001	20	533	-1
415	2553	182.35715	14	533	-1
416	2016	155.07692	13	536	-1
417	3339	166.95	20	540	-1
418	7246	154.17021	47	540	-1
419	2432	173.71428	14	540	-1
420	67866	547.30646	124	543	-1
421	3541	160.95454	22	546	-1
422	3932	157.28	25	547	-1
423	11511	157.68494	73	547	-1
424	14569	205.19719	71	549	-1
425	20739	172.825	120	549	-1
426	1711	171.10001	10	549	-1
427	1860	169.09091	11	556	-1
428	74071	552.76868	134	559	-1
429	28739.002	315.8132	91	561	-1
430	6367	181.91429	35	561	-1
431	12552	158.88608	79	562	-1
432	1839.9999	167.27272	11	565	-1
433	15411	342.46667	45	566	-1
434	2133	164.07692	13	567	-1
435	16354	221	74	570	-1
436	4974	171.51724	29	576	-1
437	17003	160.40565	106	579	-1
438	3226	169.78947	19	580	-1
439	126009	646.20001	195	580	-1
440	2239	186.58333	12	580	-1
441	5011	156.59375	32	584	-1
442	24158	163.22974	148	584	-1
443	4052	184.18182	22	585	-1
444	38683	228.89349	169	585	-1
445	11955	175.80882	68	585	-1
446	55662	314.47458	177	586	-1
447	39464	411.08334	96	587	-1
448	15723.999	285.8909	55	587	-1
449	20706	174	119	591	-1
450	4742	189.67999	25	593	-1
451	4271	194.13637	22	594	-1
452	1662	166.2	10	594	-1
453	15414	205.52	75	594	-1
454	1945	176.81818	11	594	-1
455	12298	163.97333	75	594	-1
456	5384	173.67741	31	594	-1
457	3641	165.5	22	594	-1
458	71213	505.05673	141	596	-1
459	3319	195.23529	17	596	-1
460	51545	283.21429	182	599	-1
461	1712	171.2	10	601	-1
462	7818	162.875	48	602	-1
463	10986	305.16666	36	602	-1
464	81435	607.72388	134	604	-1
465	2883	169.58824	17	605	-1
466	8450	165.68628	51	605	-1
467	7659	156.30612	49	605	-1
468	66374	530.992	125	607	-1
469	2339	212.63637	11	608	-1
470	2155	153.92857	14	608	-1
471	2497	156.0625	16	608	-1
472	19569	171.6579	114	611	-1
473	6257	173.80556	36	611	-1
474	7338.9995	163.08888	45	613	-1
475	97778	634.92206	154	614	-1
476	15025	170.73863	88	618	-1
477	15994	166.60417	96	618	-1
478	10731	255.5	42	620	-1
479	20447	173.27966	118	628	-1
480	4304	165.53847	26	629	-1
481	13319	156.69412	85	630	-1
482	10580	157.91045	67	634	-1
483	6849	159.27907	43	634	-1
484	2819	165.82353	17	634	-1
485	7333	170.53488	43	634	-1
486	12552	167.36	75	634	-1
487	38598	206.40642	187	635	-1
488	2328	179.07692	13	636	-1
489	102749	728.71631	141	637	-1
490	4130	158.84616	26	637	-1
491	5099	154.51515	33	642	-1
492	2360	181.53847	13	643	-1
493	8873	167.4151	53	646	-1
494	1969	179	11	646	-1
495	4748	249.89473	19	646	-1
496	1847	153.91667	12	646	-1
497	3788	180.38095	21	646	-1
498	1716	156	11	646	-1
499	6864.0005	159.62791	43	649	-1
500	9906	159.7742	62	649	-1
501	48630.004	534.39563	91	652	-1
502	3495	174.75	20	656	-1
503	4263	163.96153	26	656	-1
504	2371	169.35715	14	656	-1
505	2262	161.57143	14	656	-1
506	12456	218.52632	57	658	-1
507	16228	190.91765	85	658	-1
508	8330	157.16982	53	658	-1
509	3132	156.60001	20	663	-1
510	5558	158.8	35	663	-1
511	2645	176.33333	15	664	-1
512	23065	169.59558	136	664	-1
513	43576	512.65881	85	664	-1
514	100143	532.67554	188	667	-1
515	21574	479.42221	45	668	-1
516	13519	375.52777	36	668	-1
